RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,50525,Collin Morikawa,1.136,24.990,22
2,0,36689,Brooks Koepka,0.913,17.340,19
3,0,24502,Adam Scott,0.912,22.791,25
4,-1,37455,Si Woo Kim,0.817,30.232,37
5,1,40026,Daniel Berger,0.816,26.116,32
6,1,40098,Matt Fitzpatrick,0.791,23.729,30
7,2,22405,Justin Rose,0.755,12.076,16
8,2,28237,Rory McIlroy,0.748,10.476,14
9,-4,50095,Austin Smotherman,0.740,19.985,27
10,-2,56630,Akshay Bhatia,0.720,18.725,26
11,0,48117,Kurt Kitayama,0.667,20.677,31
12,0,59018,Ryan Gerard,0.665,21.937,33
13,4,39324,J.J. Spaun,0.638,17.227,27
14,1,32839,Hideki Matsuyama,0.635,19.700,31
15,-1,48081,Xander Schauffele,0.623,18.069,29
16,-4,52453,Nicolai Højgaard,0.594,18.405,31
17,3,49960,Sepp Straka,0.538,14.521,27
18,5,57366,Cameron Young,0.521,14.068,27
19,5,37275,Sam Ryder,0.497,9.435,19
20,2,60004,Jacob Bridgeman,0.490,16.668,34
21,15,52955,Ludvig Åberg,0.485,12.135,25
22,-4,51287,Ryo Hisatsune,0.483,18.854,39
23,2,37338,Zecheng Dou,0.480,12.952,27
24,-8,39997,Corey Conners,0.464,13.931,30
25,20,59836,Pierceson Coody,0.451,15.328,34
26,0,60386,Sudarshan Yellamaraju,0.449,14.356,32
27,14,47420,Jake Knapp,0.448,12.981,29
28,3,57362,Austin Eckroat,0.428,9.419,22
29,0,46464,Jordan Smith,0.426,13.218,31
30,2,51950,Max McGreevy,0.424,13.992,33
31,-1,59095,Chris Gotterup,0.423,13.957,33
32,3,34076,Joel Dahmen,0.398,8.363,21
33,3,46340,Alex Smalley,0.397,13.907,35
34,4,58168,Davis Thompson,0.389,9.347,24
35,4,39546,Keith Mitchell,0.387,13.537,35
36,-2,25493,Nick Taylor,0.384,13.818,36
37,15,34256,Andrew Putnam,0.381,11.061,29
38,2,33968,Thorbjørn Olesen,0.356,6.769,19
39,11,51634,Sahith Theegala,0.347,13.541,39
40,2,52686,Rasmus Højgaard,0.333,7.658,23
41,-22,46717,Viktor Hovland,0.330,8.582,26
42,-14,30911,Tommy Fleetwood,0.323,7.744,24
43,-17,33204,Shane Lowry,0.320,7.681,24
44,-23,51766,Wyndham Clark,0.319,9.256,29
45,-12,34046,Jordan Spieth,0.294,9.994,34
46,1,35296,Haotong Li,0.293,6.746,23
46,-2,55893,Sam Stevens,0.293,10.245,35
48,0,34021,Bud Cauley,0.244,8.534,35
49,4,40115,Adam Svensson,0.227,3.634,16
50,-1,37378,Min Woo Lee,0.225,6.754,30
51,3,28723,John Parry,0.218,6.333,29
51,3,37076,Marcelo Rozo,0.218,3.055,14
53,17,35450,Patrick Cantlay,0.208,5.191,25
54,20,32102,Rickie Fowler,0.203,6.091,30
55,4,54628,Lee Hodges,0.176,4.223,24
56,-13,63454,Johnny Keefer,0.169,4.900,29
57,5,30926,Chris Kirk,0.166,4.484,27
58,33,31323,Gary Woodland,0.162,4.060,25
59,4,59143,Mac Meissner,0.160,4.331,27
60,7,32757,Patton Kizzire,0.149,3.125,21
61,7,55182,Tom Kim,0.147,4.551,31
62,8,57259,Dan Brown,0.146,2.924,20
63,1,48887,Matt Wallace,0.135,2.967,22
64,-18,34098,Russell Henley,0.131,3.413,26
64,17,46046,Scottie Scheffler,0.131,3.399,26
66,-2,35532,Tom Hoge,0.130,4.023,31
66,26,51997,Andrew Novak,0.130,4.153,32
68,4,54783,Dylan Wu,0.128,2.426,19
69,-3,61522,Michael Brennan,0.125,3.260,26
70,3,60019,Jackson Suber,0.117,1.873,16
71,-3,54304,Karl Vilips,0.114,2.846,25
72,4,65256,David Ford,0.109,2.516,23
73,15,63121,William Mouw,0.100,2.590,26
74,3,46414,Aaron Rai,0.094,1.878,20
74,-13,36699,Patrick Rodgers,0.094,3.854,41
76,2,50497,Adrien Dumont de Chassart,0.085,2.136,25
77,2,48001,Zach Bauchou,0.081,2.339,29
77,2,52689,Rasmus Neergaard-Petersen,0.081,1.374,17
79,8,47504,Sam Burns,0.059,1.424,24
80,-5,29420,Billy Horschel,0.049,1.724,35
81,2,49766,Hank Lebioda,0.047,1.026,22
82,-31,39977,Max Homa,0.041,1.116,27
83,1,47591,Eric Cole,0.033,0.884,27
83,11,27349,Alex Noren,0.033,0.866,26
85,10,57364,Michael Thorbjornsen,0.012,0.380,32
86,10,29936,Ryan Fox,0.010,0.227,22
87,10,52666,Sami Valimaki,0.005,0.126,26
88,-3,51696,Rico Hoey,0.004,0.162,36
89,9,54788,Chandler Blanchet,-0.015,-0.297,20
90,-33,36326,David Lipsky,-0.020,-0.337,17
91,-2,66743,Luke Clanton,-0.024,-0.367,15
92,-2,45522,Christiaan Bezuidenhout,-0.027,-0.663,25
93,0,49771,J.T. Poston,-0.039,-1.105,28
94,-35,46442,Maverick McNealy,-0.040,-1.318,33
95,5,27644,Brian Harman,-0.046,-1.430,31
96,5,60067,Joe Highsmith,-0.064,-2.176,34
97,-11,47993,Denny McCarthy,-0.071,-2.469,35
98,1,59141,Matt McCarty,-0.082,-2.884,35
99,3,39975,Michael Kim,-0.085,-2.805,33
100,4,47393,Jeffrey Kang,-0.118,-2.128,18
101,4,54607,Danny Walker,-0.121,-3.383,28
102,4,55573,John VanDerLaan,-0.129,-2.583,20
103,4,28252,Seamus Power,-0.142,-3.548,25
104,4,45242,Kevin Yu,-0.147,-3.234,22
105,4,50286,A.J. Ewart,-0.152,-4.099,27
106,5,31646,Emiliano Grillo,-0.156,-4.378,28
107,8,57123,Steven Fisk,-0.161,-4.829,30
108,4,27214,Kevin Streelman,-0.165,-2.307,14
109,4,36799,Stephan Jaeger,-0.166,-4.967,30
110,-1,57975,Harry Hall,-0.173,-4.857,28
111,-29,51349,Nico Echavarria,-0.184,-5.345,29
112,2,40250,Taylor Pendrith,-0.186,-5.590,30
113,18,25900,Lucas Glover,-0.195,-4.087,21
114,-56,29725,Tony Finau,-0.196,-7.041,36
115,2,34099,Harris English,-0.206,-6.380,31
116,0,36801,Mark Hubbard,-0.208,-4.992,24
117,1,47983,Chad Ramey,-0.220,-7.269,33
118,1,56781,Isaiah Salinda,-0.230,-3.219,14
119,2,39971,Sungjae Im,-0.232,-3.718,16
120,0,35506,Mackenzie Hughes,-0.237,-6.151,26
121,0,33448,Justin Thomas,-0.238,-3.333,14
122,1,52375,Doug Ghim,-0.251,-5.018,20
123,-20,54591,Ben Griffin,-0.258,-8.245,32
124,0,51977,Max Greyserman,-0.273,-5.743,21
125,7,28089,Jason Day,-0.294,-7.339,25
126,0,63343,Aldrich Potgieter,-0.306,-7.353,24
127,-2,59440,Ricky Castillo,-0.309,-8.965,29
128,0,57586,Jesper Svensson,-0.323,-3.873,12
129,0,32070,Rafael Campos,-0.328,-4.919,15
130,0,34371,Adrien Saddier,-0.332,-6.969,21
131,7,47347,Adam Schenk,-0.353,-10.585,30
132,1,39335,Kevin Roy,-0.359,-10.779,30
133,1,63807,Neal Shipley,-0.364,-5.828,16
134,3,35461,Beau Hossler,-0.382,-6.876,18
135,6,33141,Keegan Bradley,-0.403,-10.065,25
136,-14,52215,Robert MacIntyre,-0.410,-12.293,30
137,-1,51003,Marco Penge,-0.427,-11.517,27
138,1,55851,Pontus Nyholm,-0.443,-7.970,18
139,1,27064,Jhonattan Vegas,-0.451,-11.715,26
140,2,59006,Davis Chatfield,-0.503,-8.555,17
141,2,50188,S.H. Kim,-0.524,-14.160,27
142,2,47995,Davis Riley,-0.525,-9.969,19
143,2,49855,Kristoffer Reitan,-0.532,-13.309,25
144,2,29535,Brice Garnett,-0.539,-9.708,18
145,2,51894,Vince Whaley,-0.570,-13.682,24
146,2,48867,Matti Schmid,-0.603,-19.299,32
147,3,49120,Kensei Hirata,-0.684,-15.042,22
148,3,54576,Patrick Fishburn,-0.691,-9.674,14
149,3,48153,Matthieu Pavon,-0.718,-19.384,27
150,9,54421,Garrick Higgo,-0.726,-19.610,27
151,3,49947,Taylor Moore,-0.804,-20.094,25
152,3,34466,Peter Malnati,-0.808,-14.551,18
153,0,46443,Brian Campbell,-0.822,-19.726,24
154,3,47917,Takumi Kanaya,-0.919,-27.556,30
155,3,57900,Chandler Phillips,-0.937,-25.293,27
156,4,40006,Erik van Rooyen,-1.051,-21.028,20
157,4,45157,Cam Davis,-1.058,-16.925,16
158,4,38991,Alejandro Tosti,-1.067,-17.067,16
159,4,51600,Jimmy Stanger,-1.089,-16.330,15
160,4,54422,Christo Lamprecht,-1.280,-20.486,16
161,4,40162,Justin Lower,-1.345,-18.831,14
162,4,64442,Gordon Sargent,-1.951,-27.307,14